filename,path,size_kb
"Picture1.avif","/images/Picture1.avif",4
"Picture8_1.avif","/images/Picture8_1.avif",33
"Picture8_1Picture8.avif","/images/Picture8_1Picture8.avif",47
"Profile-Image_1Profile Image.webp","/images/Profile-Image_1Profile Image.webp",23
"Vector-7.svg","/images/Vector-7.svg",0
"Vector-8.svg","/images/Vector-8.svg",1
"Video_1Video.webp","/images/Video_1Video.webp",9
"black-cushioned-piano-bench-minimalist-white-backg-p-500.jpg","/images/black-cushioned-piano-bench-minimalist-white-backg-p-500.jpg",8
"black-cushioned-piano-bench-minimalist-white-backg-p-800.jpg","/images/black-cushioned-piano-bench-minimalist-white-backg-p-800.jpg",17
"black-cushioned-piano-bench-minimalist-white-backg.jpg","/images/black-cushioned-piano-bench-minimalist-white-backg.jpg",24
"carnegie-hall-performance-p-500.png","/images/carnegie-hall-performance-p-500.png",145
"elements.svg","/images/elements.svg",1
"floor2.jpeg","/images/factory-pictures/floor2.jpeg",823
"WhatsApp Image 2026-02-23 at 23.31.20.jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-23 at 23.31.20.jpeg",730
"WhatsApp Image 2026-02-23 at 23.31.23.jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-23 at 23.31.23.jpeg",735
"WhatsApp Image 2026-02-23 at 23.31.26.jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-23 at 23.31.26.jpeg",735
"WhatsApp Image 2026-02-25 at 18.52.22 (2).jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-25 at 18.52.22 (2).jpeg",239
"WhatsApp Image 2026-02-25 at 18.54.50 (2).jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-25 at 18.54.50 (2).jpeg",529
"WhatsApp Image 2026-02-25 at 18.54.50.jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-25 at 18.54.50.jpeg",593
"WhatsApp Image 2026-02-25 at 18.54.52.jpeg","/images/factory-pictures/other pictures (no need to use)/WhatsApp Image 2026-02-25 at 18.54.52.jpeg",397
"factory floor 2.jpeg","/images/factory-pictures/other pictures (no need to use)/factory floor 2.jpeg",792
"factory floor 3.jpeg","/images/factory-pictures/other pictures (no need to use)/factory floor 3.jpeg",820
"keys-and-wooden-action.jpeg","/images/factory-pictures/other pictures (no need to use)/keys-and-wooden-action.jpeg",401
"gemini-generated-image-7eppgr7eppgr7epp-p-500.png","/images/gemini-generated-image-7eppgr7eppgr7epp-p-500.png",56
"gemini-generated-image-7eppgr7eppgr7epp-p-800.png","/images/gemini-generated-image-7eppgr7eppgr7epp-p-800.png",135
"gemini-generated-image-7eppgr7eppgr7epp.png","/images/gemini-generated-image-7eppgr7eppgr7epp.png",488
"generated-hand-image-p-500.jpg","/images/generated-hand-image-p-500.jpg",19
"grand-piano-placeholder-p-500.jpg","/images/grand-piano-placeholder-p-500.jpg",29
"grand-piano-placeholder-p-800.jpg","/images/grand-piano-placeholder-p-800.jpg",72
"grand-piano-placeholder.jpg","/images/grand-piano-placeholder.jpg",837
"hands-playing-illuminated-piano-keys-learning-p-500.jpg","/images/hands-playing-illuminated-piano-keys-learning-p-500.jpg",23
"hands-playing-illuminated-piano-keys-learning-p-800.jpg","/images/hands-playing-illuminated-piano-keys-learning-p-800.jpg",45
"hands-playing-illuminated-piano-keys-learning.jpg","/images/hands-playing-illuminated-piano-keys-learning.jpg",65
"holiday-sale-banner.jpg","/images/holiday-sale-banner.jpg",1203
"image-stand-p-500.png","/images/image-stand-p-500.png",73
"image-stand-p-800.png","/images/image-stand-p-800.png",143
"image-stand.png","/images/image-stand.png",347
"control-buttons.jpg","/images/learn/control-buttons.jpg",119
"falling-notes-mode.png","/images/learn/falling-notes-mode.png",1284
"falling-notes-still.jpg","/images/learn/falling-notes-still.jpg",61
"grid-hero-still.jpg","/images/learn/grid-hero-still.jpg",117
"hero.png","/images/learn/hero.png",1506
"keyboard-front-view.jpg","/images/learn/keyboard-front-view.jpg",53
"led-keys-glowing.png","/images/learn/led-keys-glowing.png",1446
"sheet-music-mode.png","/images/learn/sheet-music-mode.png",1630
"tempo-control.png","/images/learn/tempo-control.png",1579
"ui-playthrough-still.jpg","/images/learn/ui-playthrough-still.jpg",96
"mlk-banner-mobile.png","/images/mlk-banner-mobile.png",1037
"mlk-banner.jpg","/images/mlk-banner.jpg",728
"mother-child-dreamplay.jpg","/images/mother-child-dreamplay.jpg",89
"mother-child-dreamplay.png","/images/mother-child-dreamplay.png",1016
"person-practicing-piano-with-glowing-led-keys-p-500.jpg","/images/person-practicing-piano-with-glowing-led-keys-p-500.jpg",38
"person-practicing-piano-with-glowing-led-keys-p-800.jpg","/images/person-practicing-piano-with-glowing-led-keys-p-800.jpg",83
"pianist-playing-grand-piano-warm-lighting-p-500.jpg","/images/pianist-playing-grand-piano-warm-lighting-p-500.jpg",41
"pianist-playing-grand-piano-warm-lighting-p-800.jpg","/images/pianist-playing-grand-piano-warm-lighting-p-800.jpg",83
"pianist-playing-grand-piano-warm-lighting.jpg","/images/pianist-playing-grand-piano-warm-lighting.jpg",122
"sleek-black-digital-piano-keyboard-top-view-minima-p-500.jpg","/images/sleek-black-digital-piano-keyboard-top-view-minima-p-500.jpg",13
"sleek-black-digital-piano-keyboard-top-view-minima-p-800.jpg","/images/sleek-black-digital-piano-keyboard-top-view-minima-p-800.jpg",28
"sleek-black-digital-piano-keyboard-top-view-minima.jpg","/images/sleek-black-digital-piano-keyboard-top-view-minima.jpg",42
"apple-icon.png","/images/special-offer/apple-icon.png",2
"black-digital-piano-keyboard-top-view-88-keys-prof.jpg","/images/special-offer/black-digital-piano-keyboard-top-view-88-keys-prof.jpg",38
"elegant-hands-playing-modern-digital-piano-keyboar.jpg","/images/special-offer/elegant-hands-playing-modern-digital-piano-keyboar.jpg",65
"icon-dark-32x32.png","/images/special-offer/icon-dark-32x32.png",0
"icon-light-32x32.png","/images/special-offer/icon-light-32x32.png",0
"person-playing-piano-close-up-hands-on-keys-warm-l.jpg","/images/special-offer/person-playing-piano-close-up-hands-on-keys-warm-l.jpg",115
"placeholder-logo.png","/images/special-offer/placeholder-logo.png",0
"placeholder-user.jpg","/images/special-offer/placeholder-user.jpg",1
"sleek-black-digital-piano-keyboard-88-keys-modern-.jpg","/images/special-offer/sleek-black-digital-piano-keyboard-88-keys-modern-.jpg",58
"sleek-modern-black-digital-piano-keyboard-88-keys-.jpg","/images/special-offer/sleek-modern-black-digital-piano-keyboard-88-keys-.jpg",65
"tablet-music-app-next-to-digital-piano-keyboard-p-500.jpg","/images/tablet-music-app-next-to-digital-piano-keyboard-p-500.jpg",24
"tablet-music-app-next-to-digital-piano-keyboard-p-800.jpg","/images/tablet-music-app-next-to-digital-piano-keyboard-p-800.jpg",47
"tablet-music-app-next-to-digital-piano-keyboard.jpg","/images/tablet-music-app-next-to-digital-piano-keyboard.jpg",67
"video-thumbnail-creator.png","/images/video-thumbnail-creator.png",464
"vlcsnap-2025-11-25-19h10m12s384-p-1080.png","/images/vlcsnap-2025-11-25-19h10m12s384-p-1080.png",294
"vlcsnap-2025-11-25-19h10m12s384-p-1600.png","/images/vlcsnap-2025-11-25-19h10m12s384-p-1600.png",604
"vlcsnap-2025-11-25-19h10m12s384-p-500.png","/images/vlcsnap-2025-11-25-19h10m12s384-p-500.png",77
"vlcsnap-2025-11-25-19h10m12s384-p-800.png","/images/vlcsnap-2025-11-25-19h10m12s384-p-800.png",174
